date,state,deaths_new,deaths_bid,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2020-03-17,Johor,1,0,1,0,0,0,0
2020-03-17,Kedah,0,0,0,0,0,0,0
2020-03-17,Kelantan,0,0,0,0,0,0,0
2020-03-17,Melaka,0,0,0,0,0,0,0
2020-03-17,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-17,Pahang,0,0,0,0,0,0,0
2020-03-17,Perak,0,0,0,0,0,0,0
2020-03-17,Perlis,0,0,0,0,0,0,0
2020-03-17,Penang,0,0,0,0,0,0,0
2020-03-17,Sabah,0,0,0,0,0,0,0
2020-03-17,Sarawak,1,0,1,0,0,0,0
2020-03-17,Selangor,0,0,0,0,0,0,0
2020-03-17,Terengganu,0,0,0,0,0,0,0
2020-03-17,Kuala Lumpur,0,0,0,0,0,0,0
2020-03-17,Labuan,0,0,0,0,0,0,0
2020-03-17,Putrajaya,0,0,0,0,0,0,0
2020-03-18,Johor,0,0,0,0,0,0,0
2020-03-18,Kedah,0,0,0,0,0,0,0
2020-03-18,Kelantan,0,0,0,0,0,0,0
2020-03-18,Melaka,0,0,0,0,0,0,0
2020-03-18,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-18,Pahang,0,0,0,0,0,0,0
2020-03-18,Perak,0,0,0,0,0,0,0
2020-03-18,Perlis,0,0,0,0,0,0,0
2020-03-18,Penang,0,0,0,0,0,0,0
2020-03-18,Sabah,0,0,0,0,0,0,0
2020-03-18,Sarawak,0,0,0,0,0,0,0
2020-03-18,Selangor,0,0,0,0,0,0,0
2020-03-18,Terengganu,0,0,0,0,0,0,0
2020-03-18,Kuala Lumpur,0,0,0,0,0,0,0
2020-03-18,Labuan,0,0,0,0,0,0,0
2020-03-18,Putrajaya,0,0,0,0,0,0,0
2020-03-19,Johor,0,0,0,0,0,0,0
2020-03-19,Kedah,0,0,0,0,0,0,0
2020-03-19,Kelantan,0,0,0,0,0,0,0
2020-03-19,Melaka,0,0,0,0,0,0,0
2020-03-19,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-19,Pahang,0,0,0,0,0,0,0
2020-03-19,Perak,0,0,0,0,0,0,0
2020-03-19,Perlis,0,0,0,0,0,0,0
2020-03-19,Penang,0,0,0,0,0,0,0
2020-03-19,Sabah,0,0,0,0,0,0,0
2020-03-19,Sarawak,0,0,0,0,0,0,0
2020-03-19,Selangor,0,0,0,0,0,0,0
2020-03-19,Terengganu,0,0,0,0,0,0,0
2020-03-19,Kuala Lumpur,0,0,0,0,0,0,0
2020-03-19,Labuan,0,0,0,0,0,0,0
2020-03-19,Putrajaya,0,0,0,0,0,0,0
2020-03-20,Johor,0,0,0,0,0,0,0
2020-03-20,Kedah,0,0,0,0,0,0,0
2020-03-20,Kelantan,0,0,0,0,0,0,0
2020-03-20,Melaka,0,0,0,0,0,0,0
2020-03-20,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-20,Pahang,0,0,0,0,0,0,0
2020-03-20,Perak,0,0,0,0,0,0,0
2020-03-20,Perlis,0,0,0,0,0,0,0
2020-03-20,Penang,0,0,0,0,0,0,0
2020-03-20,Sabah,1,0,1,0,0,0,0
2020-03-20,Sarawak,0,0,0,0,0,0,0
2020-03-20,Selangor,0,0,0,0,0,0,0
2020-03-20,Terengganu,0,0,0,0,0,0,0
2020-03-20,Kuala Lumpur,0,0,0,0,0,0,0
2020-03-20,Labuan,0,0,0,0,0,0,0
2020-03-20,Putrajaya,0,0,0,0,0,0,0
2020-03-21,Johor,0,0,0,0,0,0,0
2020-03-21,Kedah,0,0,0,0,0,0,0
2020-03-21,Kelantan,1,0,1,0,0,0,0
2020-03-21,Melaka,1,0,1,0,0,0,0
2020-03-21,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-21,Pahang,0,0,0,0,0,0,0
2020-03-21,Perak,0,0,0,0,0,0,0
2020-03-21,Perlis,0,0,0,0,0,0,0
2020-03-21,Penang,0,0,0,0,0,0,0
2020-03-21,Sabah,0,0,0,0,0,0,0
2020-03-21,Sarawak,1,0,1,0,0,0,0
2020-03-21,Selangor,0,0,0,0,0,0,0
2020-03-21,Terengganu,0,0,0,0,0,0,0
2020-03-21,Kuala Lumpur,1,0,1,0,0,0,0
2020-03-21,Labuan,0,0,0,0,0,0,0
2020-03-21,Putrajaya,0,0,0,0,0,0,0
2020-03-22,Johor,0,0,0,0,0,0,0
2020-03-22,Kedah,0,0,0,0,0,0,0
2020-03-22,Kelantan,0,0,0,0,0,0,0
2020-03-22,Melaka,0,0,0,0,0,0,0
2020-03-22,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-22,Pahang,0,0,0,0,0,0,0
2020-03-22,Perak,0,0,0,0,0,0,0
2020-03-22,Perlis,1,0,1,0,0,0,0
2020-03-22,Penang,1,0,1,0,0,0,0
2020-03-22,Sabah,0,0,0,0,0,0,0
2020-03-22,Sarawak,1,1,1,0,0,0,0
2020-03-22,Selangor,0,0,0,0,0,0,0
2020-03-22,Terengganu,0,0,0,0,0,0,0
2020-03-22,Kuala Lumpur,1,0,1,0,0,0,0
2020-03-22,Labuan,0,0,0,0,0,0,0
2020-03-22,Putrajaya,0,0,0,0,0,0,0
2020-03-23,Johor,3,0,3,0,0,0,0
2020-03-23,Kedah,0,0,0,0,0,0,0
2020-03-23,Kelantan,0,0,0,0,0,0,0
2020-03-23,Melaka,0,0,0,0,0,0,0
